statuses_count,followers_count,friends_count,favourites_count,listed_count,verified_true,verified_false,protected_true,protected_false,isGenuine
2177,208,332,265,1,0,1,0,1,1
2660,330,485,3972,5,0,1,0,1,1
1254,166,177,1185,0,0,1,0,1,1
202968,2248,981,60304,101,0,1,0,1,1
82,21,79,5,0,0,1,0,1,1
12915,641,1066,1568,7,0,1,0,1,1
13676,1042,2000,19012,7,0,1,0,1,1
61294,561,118,590,4,0,1,0,1,1
4854,337,256,1407,4,0,1,0,1,1
2408,421,338,2227,5,0,1,0,1,1
24581,335,276,10570,4,0,1,0,1,1
2132,232,225,101,56,0,1,0,1,1
10354,1948,2096,3,88,0,1,0,1,1
18484,271,216,8487,0,0,1,0,1,1
88,16,74,397,0,0,1,0,1,1
2418,1190,355,1092,11,0,1,0,1,1
10839,7842,7836,8329,34,0,1,0,1,1
4774,552,787,4029,11,0,1,0,1,1
36,223,166,864,2,0,1,0,1,1
9412,303,325,7304,2,0,1,0,1,1
55052,1978,197,7274,7,0,1,0,1,1
69809,1605,969,12583,2,0,1,0,1,1
7207,212,150,1877,0,0,1,0,1,1
16677,1206,49,7008,6,0,1,0,1,1
24163,435,320,676,1,0,1,0,1,1
45750,7644,359,54926,46,0,1,0,1,1
1203,182,117,136,0,0,1,0,1,1
274989,9815,2190,40114,38,0,1,0,1,1
11334,349,348,2465,4,0,1,0,1,1
72102,726,28,165,23,0,1,0,1,1
15525,879,667,153,5,0,1,0,1,1
31248,3205,2377,3650,282,0,1,0,1,1
105025,543,327,49956,1,0,1,0,1,1
54,10,91,14,0,0,1,0,1,1
371,90,147,363,0,0,1,0,1,1
2582,223,495,1668,3,0,1,0,1,1
427,75,77,279,0,0,1,0,1,1
416,25,28,2,1,0,1,0,1,1
34627,661,498,15474,1,0,1,0,1,1
25098,832,644,6107,1,0,1,0,1,1
283536,7785,424,1157,217,0,1,0,1,1
13634,697,103,5258,30,0,1,0,1,1
10339,385,200,72,7,0,1,0,1,1
19390,385,252,11,1,0,1,0,1,1
1960,4910,1675,1043,22,0,1,0,1,1
2766,79,196,587,0,0,1,0,1,1
3114,28,32,1,0,0,1,0,1,1
4236,249,278,1787,0,0,1,0,1,1
33298,698,600,4037,5,0,1,0,1,1
378,173,312,27,0,0,1,0,1,1
46272,943,750,9355,3,0,1,0,1,1
1043,81,77,2192,0,0,1,0,1,1
5194,247,177,3173,0,0,1,0,1,1
3547,1651,1754,1607,4,0,1,0,1,1
6127,1233,1166,97,10,0,1,0,1,1
3450,159,124,5059,5,0,1,0,1,1
8102,241,273,1067,0,0,1,0,1,1
51961,1401,1335,48065,9,0,1,0,1,1
23261,589,396,52,0,0,1,0,1,1
14187,358,967,280,8,0,1,0,1,1
169053,1193,351,3439,25,0,1,0,1,1
3566,136,116,1330,0,0,1,0,1,1
2366,157,388,287,3,0,1,0,1,1
639,120,64,407,1,0,1,0,1,1
20291,1114,1292,11382,14,0,1,0,1,1
57768,348,389,13804,4,0,1,0,1,1
844,93,385,27,0,0,1,0,1,1
7588,235,112,10979,0,0,1,0,1,1
20388,399,402,529,3,0,1,0,1,1
2287,71,56,295,3,0,1,0,1,1
42077,763,97,922,18,0,1,0,1,1
16948,244,246,5500,3,0,1,0,1,1
4655,281,421,2466,1,0,1,0,1,1
23875,2134,654,241,8,0,1,0,1,1
14537,865,250,0,20,0,1,0,1,1
8877,400,173,5293,2,0,1,0,1,1
5057,625,566,919,1,0,1,0,1,1
7135,202,300,299,1,0,1,0,1,1
346,451,403,1875,0,0,1,0,1,1
3629,269,187,1229,0,0,1,0,1,1
18745,553,1856,81,8,0,1,0,1,1
9240,170,143,4567,2,0,1,0,1,1
8318,884,250,137,10,0,1,0,1,1
1238,192,175,624,0,0,1,0,1,1
2182,254,292,620,1,0,1,0,1,1
9156,285,205,4088,1,0,1,0,1,1
911,53,272,1177,1,0,1,0,1,1
38417,344,335,23322,4,0,1,0,1,1
13572,701,708,6970,0,0,1,0,1,1
1523,87,195,66,3,0,1,0,1,1
2055,142,129,489,0,0,1,0,1,1
24986,650,348,4907,1,0,1,0,1,1
